,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Story_Id,Title,Abstract
11,11,16.0,0.5339000225067139,"Vater, Wald, Auge, Tier, mein, Kopf, Frau, Eltern, Mutter, Erde",94,Auf Sand gebaut,"Leenkes Papa gehört das Kieswerk am Ortsrand. Zur Erweiterung des Abbaugebietes soll der angrenzende Wald weichen.  Dieses Vorhaben spaltet nicht nur das Dorf, sondern stellt vor allem Leenke vor eine große Herausforderung. Im Rahmen der Projektwoche wird sie in der Schule massiv angefeindet und ausgegrenzt. Am härtesten trifft sie, dass ihr heimlicher Schwarm Pit ihren Vater als ""die größte Umweltsau des Dorfes"" betitelt. Kann sich Leenke aus dieser bedrückenden Situation befreien? Ist vielleicht sogar eine Rettung des Waldes möglich? "
12,12,17.0,0.9666000008583069,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",100,Wie das Müllmonster besiegt und Prinzessin Klimatina gerettet wurde,"Das kleine Königreich Deponia wird von einem Müllmonster bedroht, dass das ganze Land verdreckt und die Flüsse verseucht. Schließlich entführt es sogar die Kronprinzessin Klimatina. Wird es dem tapferen Jungen Solarius und seinem treuen Esel Teslo gelingen, die Prinzessin zu befreien und das Monster zu besiegen?"
13,13,8.0,0.9555000066757202,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",105,Das Haus der ewigen Echos,"Ein Junge wird eines nachts plötzlich von einem sprechenden Eichhörnchen geweckt. Es erzählt dem Jungen von einer bevorstehenden Katastrophe und nimmt ihn mit ein ""Haus der ewigen Echos"". In einer zauberhaften Villa begegnet der Junge Tieren, die eigentlich schon ausgestorben sein müssten. Zusammen mit anderen geheimnisvollen Wesen erklären sie dem Jungen die Konsequenzen von menschlichem Handeln und was es heißt, ein verantwortungsvolles Leben zu führen."
14,14,17.0,0.9988999962806702,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",107,Sterne,"Wenn wir sterben, werden wir zu funkelnden Sternen. Das hat Lisis Mutter ihr kurz vor ihrem Tod erzählt. Jedoch werden die Sterne immer häufiger vom Dampf und Rauch der Flugzeuge und Waldbrände verdeckt, weshalb Lisi beschliesst, mit anderen Jugendlichen auf diesem Umstand hinzuweisen. Immer mitternachts schleichen sie mit Kerzen auf den Friedhof und erschaffen selbst ein Meer aus Sternen. So wollen sie auf die drohende Umweltkatastrophe hinweisen und ihre Trauer sichtbar machen. "
15,15,13.0,0.9728999733924866,"Erde, Wasser, Mutter, Kopf, Haus, Auge, mein, Vater, Eltern, Baum",110,Kailano und die Qualmpulverschnur,"Kailano lebt auf einer paradiesischen kleinen Vulkaninsel mitten im Meer. Eines Tages entdeckt er eine gräulich glänzende Schnur, die er mit einiger Mühe aus dem Vulkanboden zieht. Die Schnur ist das reinste Wunder: Sie macht Dinge leichter, und macht selbst Hühnereier unzerbrechlich. Und schaut man durch sie hindurch, wirkt alles bunt und wunderschön. Doch die anderen Inselbewohner werfen die tollen Schnüre einfach so weg, bis sie ins Meer geweht werden. Und plötzlich entdeckt Kailano etwas Furchtbares... Er muss sich gleich drei Pläne einfallen lassen."
16,16,8.0,0.9979000091552734,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",114,"Fitti, der fliegende Hot- Dog","   „Quiek!"" Jonna traute ihren Ohren nicht, als sie in den Hot- Dog biss. Doch als Fitti, der fliegende Hot- Dog, sie eines Nachts mit zu den brennenden Regenwäldern nahm, gingen ihr die Augen auf. Erst hatte sie natürlich Angst. So ein Abenteuer hatte sie schließlich noch nie erlebt. Aber dann war es doch ziemlich aufregend, was sie da erlebte. Sie und die vielen anderen Kinder, die sie dort traf, hatten ja keine Ahnung gehabt, was mit dem Klima geschah. Doch das würde sich jetzt ändern ...
"
17,17,1.0,0.640999972820282,"Vater, Mutter, Hand, Papa, Erde, Wasser, alt, Freund, Kopf, mein",118,Ein kleiner Zweig vom großen Baum,"Der Weihnachtsbaum ist aufgestellt und sein Duft genügt, um Juna mitten in die ersehnte Weihnachtstimmung zu katapultieren. Aber wo ist der Schnee und was kann man tun, um den Winter wieder hervorzulocken?

Ein Besuch im Gartencenter öffnet Juna die Augen und schon kommen ihr erste Ideen, wie man sie es schaffen kann, die Erwachsenen zum Umdenken zu bewegen. Dafür braucht es keine neuen Erfindungen!
Eine geistreiche Idee und etwas Glühwein genügen."
18,18,5.0,0.8158000111579895,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",119,Die Geschwindigkeit der Zeit ändert sich,"Es ist ein heißer Juli Tag. Es schien die Sonne, Vögel zwitschern, Leute kühlen sich im Wasser ab und holen sich Eis an den verschiedenen Verkaufsstandeln. 
Zumindest war das bis heuer so. Plötzlich fängt es an zu schneien, Keller werden überflutet und weiterer Naturkatastrophen gestalteten das Leben auf der Erde immer schwieriger. Das Schlimmste ist jedoch: Die Erwachsenen bemerken es nicht einmal! 
Um die Erde vor dem Untergang zu bewahren, stellen sich Mia und ihre Freunde den schlimmen Katastrophen des Klimawandels  entgegen. Können sie die Erde noch rechtzeitig retten oder ist es bereits zu spät?"
19,19,11.0,0.6764000058174133,"Auge, Welt, Haus, Baum, Hand, Erde, Frau, Eltern, Luft, alt",121,Schwarzer Sand,"Sonja und ihre Familie verbringen ihren Urlaub auf Korsika. Ihr Strand wurde durch Öl verschmutzt. Die Familie beginnt die Hintergründe dieser kriminellen Tat zu ermitteln und gerät dabei selbst in Gefahr.
"
20,20,5.0,0.5414999723434448,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",124,Ein umweltfeindlicher Stundenplan ,"Als Lara erfährt, dass ihr Direktor Herr Lehmann die an der Schule angrenzende Natur zerstören will, um das Gebäude zu vergrößern, setzt sie mit ihrem besten Freund Fynn alles daran, diesen umweltfeindlichen Plan zu durchkreuzen. Gemeinsam finden sie heraus, welche Folgen dieses Vorhaben hat und geben nicht auf, ehe die Katastrophe verhindert ist. Dabei erkennen sie nicht nur, wie wichtig es ist für das Richtige zu kämpfen, sondern auch, dass man gemeinsam alles erreichen kann. "
