,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Story_Id,Title,Abstract
41,41,17.0,0.43950000405311584,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",214,Fünf Dinge,"Eine Kreuzfahrt?! Die elfjährige Anna hat die Nase voll! In Deutschland herrscht der wärmste Winter, den es je gab, und ihre Eltern buchen allen Ernstes eine Kreuzfahrt! Als wüssten sie nicht, wieviel Dreck diese Schiffe in die Luft blasen! Das darf doch nicht wahr sein! Anna versteht die Welt nicht mehr. Die vielen schlimmen Nachrichten, die sie jeden Tag in der Zeitung lesen muss, machen ihr Angst.
Gemeinsam mit ihrem besten Freund Oskar überlegt Anna, was sie gegen den Klimawandel unternehmen könnten. Und dann hat Anna eine geniale Idee: Fünf Dinge!
"
42,42,1.0,0.9980000257492065,"Vater, Mutter, Hand, Papa, Erde, Wasser, alt, Freund, Kopf, mein",215,Spiel um die Zukunft,"In seinen heißt geliebten Videospielen ist Charlie ein Held. Im echten Leben weniger. Meist verbringt er die Tage träumend und interessiert sich nicht für echte Gefahren wie den Klimawandel. 
Das ändert sich, als Charlie eines Tages ein seltsames Spiel geschenkt bekommt. Irgendwie scheint es darin um das Schicksal der Menschen und Tiere zu gehen. Schafft Charlie es, das ""Spiel um die Zukunft"" zu gewinnen?"
43,43,5.0,0.9991000294685364,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",216,Sie nannten uns Blumenkinder,"„Ich habe eine Bombe“, ruft die zwölfjährige Elli der Polizei entgegen, als sie nachts vor dem Haus einer Mitschülerin verhaftet wird.
An ihrer Seite steht Oma Anneli. 
„Sie nannten uns Blumenkinder“, hatte Anneli ihrer Enkelin über den Sommer ´68 erzählt.
Zwischen den Jahren 1968 und 2020 entsteht eine Geschichte über Umweltschäden und Klimaschutz, über Erinnerungen und Zukunftsängste, über Feindschaft und Freundschaft, aber vor allem über große Herausforderungen, die Generationen verbinden.
"
44,44,19.0,0.9991000294685364,"Hand, Schule, mein, Frau, Kind, Mutter, alt, Erde, Tier, Papa",217,Hilfe von der Klimafee,"»KLIMAFEE sucht neue Aufgabe! 
 Junggebliebene 119 jährige Klimafee sucht neue Herausforderung! Erfahrungen vorhanden in Katastrophengebieten, Ölteppich-Beseitigung, Eindämmung von Waldbränden, Seuchenbekämpfung u.v.m.. Ich bin flexibel, belastbar, humorvoll und verfüge über magische Fähigkeiten. Ein Wunsch – und ich bin da!« 

Als Marie die Anzeige liest, glaubt sie zunächst an einen schlechten Scherz. Doch unter den Erwachsenen in Heiligenkoog ist ein heftiger Streit über den geplanten Windpark entbrannt und die Kinder brauchen dringend Hilfe … "
45,45,5.0,0.4778999984264374,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",219,Der Klimakiller,"Wir schreiben das Jahr 2099. Jonas ist gerade zwölf Jahre alt geworden und lebt in einer klimafreundlichen Welt.  Überproduktion, Umweltverschmutzung und Klimakatastrophen kennt er nur aus den Erzählungen seiner Oma. Bis Jonas und seine Freunde plötzlich in eine Party platzen: Herr Matuschke veranstaltet eine klimafeindliche Zeitreise ins Jahr 2020. Es wird Rindfleisch serviert, Auto gefahren, Ananas gegessen, ein Feuerwerk geplant. Sogar ein heißes Vollbad können die Gäste nehmen. Wird es Jonas und seinen Freunden gelingen, die Klimakiller zu stoppen?"
46,46,17.0,0.9988999962806702,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",224,Die Klimadetektive,"Karl und Leonie vom Planeten Atmos sind es leid. Opa Thomas sagt, die Erde habe früher in den strahlendsten Farben geleuchtet. Wenn die beiden jetzt hinunter schauen, sieht die Erde grau und trostlos aus. 
Die Menschen sind schuld, da sind sich die Bewohner von Atmos einig. Es muss etwas passieren, und zwar sofort! 
Ohne lange zu überlegen, machen sich die Geschwister mit ihrem intergalaktischen Zwergschwein Ignaz auf dem Weg zu Erde. 
Aber reichen ihre Superkräfte aus, um die Menschen von einem umweltbewussteren Leben zu überzeugen? Werden sie zusammen mit ihren neuen Freunden Moritz und Annika die Erde retten können?"
47,47,5.0,0.8944000005722046,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",225,Nina und der Wald,"Nina ist ein zehnjähriges, aufgewecktes Mädchen mit kurzen dunklen Haaren großen braunen Augen und Grübchen im Gesicht. Mit ihren Eltern wohnt sie in einer großen Stadt. Am Wochenende gehen sie gerne "
48,48,8.0,0.9991999864578247,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",226,Land unter!,"Entsetzt stellen Lene, Matti und Jette fest, dass nach der Sturmflut nicht mehr viel vom Strand ihrer geliebten Insel übrig ist. Während der ansteigende Meeresspiegel und immer schlimmere Unwetter die Küsten bedrohen und Tom, Erbe eines Autohauses und Erfinder verrückter Maschinen, den Klimawandel praktisch findet und einfach eine neue Insel bauen will, schmieden die Kinder einen Plan, um ihr Zuhause vor dem Untergang zu retten. Doch dann fegt die nächste Sturmflut über die Insel, und diesmal stecken sie selbst mittendrin."
49,49,0.0,0.9031000137329102,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",228,Sam und der magische Wald,"Wir schreiben das Jahr 2086. Die Welt, wie wir sie kennen hat sich ganz schön verändert. Alle Tiere und Pflanzen sind ausgestorben bis auf einen einzigen, letzten Baum: Doch dieser Baum liegt nun im Sterben. 
Zeitgleich hat Sam einen immer wiederkehrenden Traum, in dem ihn jemand um Hilfe bitte. Schon bald erwartet ihn der verrückteste Traum, den er wohl jemals hatte. Oder ist das vielleicht gar kein Traum? "
50,50,8.0,0.9990000128746033,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",233,Marvin in den Sommerferien,"Marvin in den Sommerferien 
Marvin ist 14 Jahre alt. Er geht noch zur Schule und ist viel in den Social Media Kanälen unterwegs. Macht gerne Games und lebt in einem sehr modernen Elternhaus mit vielen elektrischen Helfern. Bis zu den Sommerferien, die er bei seinen Großeltern verbringen darf."
51,51,19.0,0.998199999332428,"Hand, Schule, mein, Frau, Kind, Mutter, alt, Erde, Tier, Papa",237,Die Werke der Schülerin Greta erreichte den Weltklimagipfel,"Greta war in Afrika geboren und wuchs im Elternhaus behütet auf. Sie hatte in der Kindheit es oft nicht leicht, weil ihre Eltern aus beruflichen Gründen wenig Zeit für sie hatten. Sie sah, dass die Dürre immer mehr in ihrem Land Afrika zunahm, weil kaum Regen auf der Erde fiel. 
Das Wasser wurde dort dadurch sehr knapp, obwohl noch einige Wasseradern unter der Erde als Wasserspeicher für die Produktion der Landwirtschaft vorhanden waren, dass ihre Großeltern zu der Zeit bewirtschafteten. 
Gretas Eltern hingegen arbeiteten in ein Institut für Forschung, dass sich in Kapstadt befand. Eine Forschung für bessere Medikamente. 
Die meisten Menschen dieses Landes bekamen die schlechte Wirtschaftslage zu spüren und erlitten dadurch Armut, da derer Leben von der Ernte abhängig war. 
Schon als Kind setzte sich Greta eines Tages für die Klimakrise in der Welt ein. 
Als sie später mit 18 Jahren mit ihrem Eltern aus Afrika nach Deutschland gezogen war, ergriff Greta die Chance, die Welt auf das gestörte Klima in allen Medien aufmerksam zu machen. Schließlich machte sich Greta viele Gedanken über Plastikmüll in Ozean und Atommüll, der überall auf der ganzen Welt gelagert wurde. Außerdem auch über Giftstoffe, die täglich im Meer und im Abwasser gelangten, dass die Gesundheit der vielen Menschen schädigen kann, da der menschliche Körper den gefährlichen Vieren nicht mehr stand halten konnte, so auch die Aussage von Greta,s Vater Prof. Dr. Bildhauer und Mutter Dr. Marta Bildhauer. 
Als Greta dann die vielen Menschen mit ihre Werke in der Welt erreichte, auf Grund dessen die Medien und Zeitungen auf ihr aufmerksam wurden, gingen sehr viele Menschen auf der Straße, um auf der ganzen Welt mit Plakaten für den Klimawandel zu streiken. Das machte der ganzen Welt aufmerksam, bis schließlich alle Regierungen auf ganzen Welt handelten, um das Weltklima und um die Gesundheit der Menschen zu retten. 
Später, als Greta ihr Bericht eine Universität aus Deutschland erreichte, wurde sie berühmt für ihre Werke auf der ganzen Welt und brachte es schließlich zum großen Erfolg."
52,52,12.0,0.8123000264167786,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",248,Malwine fliegt mal wieder,"Während die anderen Kinder in der Schule sitzen, fliegt die 11-jährige Malwine durchs All und erledigt geheime Spezialaufträge. Emili, die Umweltaktivistin, ist wenig begeistert von der Vielfliegerei ihrer besten Freundin, bis sie erfährt, dass Malwines rote Propellermaschine mit ökologischem Marshorndung betrieben wird. Das ändert natürlich alles! Mit Feuereifer beginnt Emili, die große Energiewende zu planen. Marshorndung soll der naturfreundliche Treibstoff der Zukunft werden. Doch dann macht ausgerechnet die Königin der Marshörner ihren Hoffnungen einen Strich durch die Rechnung. Sie führt sie ihre Herde an einen Ort, der für Menschen unauffindbar ist. Ob die Mädchen deshalb aufgeben? Wir werden sehen."
53,53,12.0,0.9988999962806702,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",251,Betonstadt,"Eine kuriose Aktivisten-Familie, die versucht einen gelangweilten Mitbürger auf den Klimawandel aufmerksam zu machen. 
Aber einen Platz zu randalieren hilft doch nicht, oder? "
54,54,0.0,0.8981000185012817,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",252,Die Weihnachtsbaumbande,"Die Weihnachtsbaumbande

Es sieht trostlos aus auf dem Schulhof von Milas Schule. Mila, das steht für beste Freunde und für Milena und Lara. Gemeinsam mit Elimar, dem Neuen in der Klasse, kommen sie auf die Idee, mit selbstgebauten Weihnachtsbäumen nicht nur Geld für die Schulhofgestaltung zu sammeln, sondern auch der Natur Gutes zu tun. Aber werden die drei es schaffen, ihre Klasse zu überzeugen?"
55,55,16.0,0.9991000294685364,"Vater, Wald, Auge, Tier, mein, Kopf, Frau, Eltern, Mutter, Erde",255,Das Ams und der Hasenigel DER BLAUE TOPF,"
„Das Ams und der Hasenigel“ 
       
DER BLAUE TOPF

Es handelt von dem Kind der Sonne, das mutige Ams, welches  aus Versehen von der heimatlichen Sonne gestürzt ist. Auf der Erde begegnet es den Hasenigel, einem tollpatschigen kleinen Kerl mit einem großen Herzen. Die Zwei erleben allerhand Abenteuer auf ihrem Weg zu dem Blauen Topf, einem  großen See und nebenbei der einzige Ort an dem das Ams zurück nach Hause kann. Unterwegs treffen sie noch den Schnutenbär (benannt nach seinem stets verdrossenen Gesichtsausdruck), zwei vorlaute Regenwürmer, eine Vogelscheuche und einen sprechenden Baum. Mit der Hilfe seiner neugewonnenen Freunde erreicht das Ams den blauen Topf und kann so wieder zurück zur Sonne.

Meine Geschichte ist für verträumte Kinder gedacht und zeigt, dass Freundschaft und Hilfsbereitschaft  immer zu einem guten Ende führen.
Der glaube an die Umwelt, die Erde, die Planeten und den Klima, sollte uns den richtigen Weg zeigen.
"
56,56,19.0,0.9979000091552734,"Hand, Schule, mein, Frau, Kind, Mutter, alt, Erde, Tier, Papa",256,Hitzefrei,"Jakob und Paul wohnen an der Nordseeküste. Heute ist ein heißer Tag und wie so oft in diesem Sommer fällt die Schule aus, es gibt ""Hitzefrei"". Die beiden Freunde haben sich zum Computer spielen verabredet, aber Jakob kann sich nicht konzentrieren. Ihn beschäftigt etwas ganz anderes. In der Schule hatten sie über den Klimawandel gesprochen, das macht ihm Angst. Jakob überredet seinen Freund, etwas dagegen zu unternehmen. Auf was für Ideen die beiden kommen, was sie dabei erleben und ob sie etwas bewirken können - es bleibt spannend!"
57,57,6.0,0.8763999938964844,"Auge, Tier, Mutter, Hand, Erde, Baum, Kind, Kopf, Eltern, Haus",258,Sophie und das Geheimnis der Blumen ,"Sophie lebt in einer Welt, in der es keine echte Natur mehr gibt. Die Erde ist unfruchtbar, leben ist nur unter einer Sauerstoffkuppel möglich.  Käfer, Bienen, Vögel. All das kennt Sophie nicht. Doch eines Tages auf dem Heimweg stolpert sie über ein Paar roter Gummistiefel - und sieht zum ersten Mal in ihrem Leben eine echte Blume. Völlig fasziniert macht  sie sich auf die Suche nach dem Namen ihrer Blume, erfährt so Einiges über das Bienensterben und die Abholzung des Waldes und beschließt mit Hilfe ihrer unersättlichen Neugierde, Tatendrang und ihren zauberhaften Stiefeln, die Blumen und die Bienen wieder zurück zu holen. "
58,58,0.0,0.9510999917984009,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",260,Minze mischt ... Müßiggang mit Mission,"Minze hat's grün hinter den Blattlappen. 
Sie ist impulsiv, aber bequem und folgt ohne zu hinterfragen ihrer eigenen Logik.
Verwirrung macht sich erst breit, als Minzes rätselhafter und guter Nachbarsfreund Willi beginnt ständig ""für bessere Aussichten zu trommeln"", sie auf trällernde, vierfüßige Flaschengesichter trifft und schwindliges Zuckerblubb unter die Nase bekommt.
Minze bangt – mal mehr, mal weniger – um ihre Wurzeln, bis sie erkennt: damit sie Teil einer größeren Mission sein kann, darf sie bleiben wie sie ist und tun was ihr gefällt: 
M i t m i s c h e n !"
59,59,17.0,0.5562999844551086,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",262,Im Kalten Land,"Im Kalten Land sind die Leute verrückt nach Schnee. Aber seit einiger Zeit taut es immer früher und der erste Schnee kommt immer später. Deshalb hat der Erfinder Professor Vroost eine bahnbrechende Idee: Schnee aus der Dose.
Alle sind begeistert, kaufen den künstlichen Schnee und verstreuen ihn überall. Doch schon bald türmen sich die Verpackungen zu gigantischen Müllbergen, die das ganze Land überragen.
Als eines Tages das Mädchen Klikka in Renatas Garten auftaucht und ihr erzählt, dass ihr Bruder bei einem Müllrutsch verschüttet worden ist, brechen die Mädchen auf, um den Bruder zu retten."
60,60,17.0,0.7822999954223633,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",266,Chiara und der Waldschrat,"Chiara liebt Hunde und hat vor nichts und niemand Angst. Außer vielleicht vor dem unheimlichen Mann, dem Waldschrat, der in einem alten Haus am Ende der Straße wohnt. Als Chiara einen Aufsatz über den Klimawandel schreiben muss, soll sie ausgerechnet ihn um Hilfe bitten. Doch sie geht viel lieber zusammen mit ihren Freunden Paul und Lea mit deren Hund Balu Gassi. Als die Kinder eine Abkürzung nehmen, die über das Grundstück des Waldschrats führt, haut Balu ab und verwüstet den Garten. Nur knapp schaffen sie es, dem Waldschrat zu entkommen. 
Während ihres Spaziergangs fällt ihnen der Müll auf, der am Wegrand liegt. Als Balu plötzlich anfängt zu winseln und nicht mehr laufen will, stellen die Kinder fest, dass er etwas von dem Abfall gefressen hat.
Wieder zu Hause angekommen, muss Chiara nicht nur mit der Sorge um Balu fertig werden, sondern sich auch auf einen Tag bei Waldschrat gefasst machen. Denn ihre Eltern wollen, dass sie ihm dabei hilft, den Schaden wiedergutzumachen, den Balu in seinem Garten angerichtet hat."
61,61,1.0,0.7462000250816345,"Vater, Mutter, Hand, Papa, Erde, Wasser, alt, Freund, Kopf, mein",269,"Jeff, der Chef! ","""Wieso soll ich immer nur das tun, was die anderen von mir erwarten?"", fragt sich Jeff das Erdmännchen Tag für Tag. Vor allem wenn das, was erwartet und getan wird, die Zukunft der ganzen unterirdischen Welt in Gefahr bringt! Und auch seine Freunde an der Oberfläche leiden unter dem unbedachten Lebenswandel der Erdmännchen, die furchtbare Abgase in die Luft pusten und den anderen Tieren die Käfer wegfuttern, bis sie mit ihren runden Bäuchen nicht mehr durch die Höhlentür passen. Deshalb beschließt Jeff genau das zu tun, was allen Erwartungen widerspricht: er setzt alles daran, die Welt der Tiere ein bisschen besser zu machen und plötzlich hören ihm alle zu. Sogar Jackal, der Fiesling...

"
62,62,19.0,0.37709999084472656,"Hand, Schule, mein, Frau, Kind, Mutter, alt, Erde, Tier, Papa",272,Eine Top-Idee!,"Sami ist 11 Jahre alt. Als sie zusammen mit einer Freundin in der Stadt bummeln ist, hört sie zum ersten Mal von der sogenannten „Fast Fashion“ und deren negativen Folgen. Sami lässt das Thema nicht mehr los und sie möchte auch etwas dagegen unternehmen. Inspiriert von einem Trick, der ihr selbst aus einer blöden Situation geholfen hat, startet sie ein großes Schulprojekt und wird für Viele zum Vorbild."
63,63,5.0,0.9990000128746033,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",273,Luis und die Feenkönigin,"Luis Pretzel  hatte heute - wie immer - wenig  Lust in die Schule zu gehen. Er ging in die siebte Klasse der Anne-Frank-Gesamtschule in Hambach. Weil  seine Mutter ihn nun schon das zweite Mal gerufen hatte, macht er sich natürlich auf den Weg. 
Fee Wolle, das Mädchen mit dem sonderbaren Namen, ist neu in seiner Klasse und 'Waldretterin'. Was das für Luis, dessen Vater eine wichtige Funktion in einem Energieversorgerunternehmen inne hat, und den Hambacher Forst bedeutet, erfahrt ihr in dieser Geschichte. "
64,64,5.0,0.7069000005722046,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",274,Anna und das geheimnisvolle goldene Ei,"Das Leben der 11-jährigen Anna im Jahr 2080 ist unbeschwert. Ihre Oma, die Klimaaktivistin Katrina Benner, hat das Klima schon vor fünfzig Jahren gerettet. Fleisch und Milchprodukte gibt es nur noch aus dem Labor, die Autos fahren elektrisch und die Kohlekraftwerke stehen still. Doch eines Tages verschwindet Annas Vater spurlos aus seinem Arbeitszimmer. Gemeinsam mit ihrem kleinen Bruder Nils geht sie dem Ganzen auf die Spur und entdeckt dabei ein rätselhaftes goldenes Ei, das Anna und Nils zurück ins Jahr 2029 katapultiert, zwei Wochen, bevor Oma Katrina mit ihren Worten Millionen Menschen auf die Straße lockte und damit eine Klimarevolution auslöste. Doch als die Geschwister dort sind, sind sie entsetzt: Nichts sieht nach Revolution aus! Die Menschen interessieren sich nicht für den Klimawandel und Katrina höchstpersönlich isst Fleisch und fährt einen SUV. Können Nils und Anna ihre Gegenwart und ihren Papa retten?"
65,65,2.0,0.9107000231742859,"Wasser, Hand, Baum, Haus, Welt, Kopf, Vater, Eltern, Tier, Auge",281,Grüne Helden,"Das Klima ist verrückt und außer Rand und Band und das haben auch die Schüler dieser neunten Klasse erkannt. Sie wollen etwas Gutes tun. Die Geschichte erzählt davon, was man auch als junger Mensch erreichen kann, wenn man zusammenhält. "
66,66,0.0,0.4880000054836273,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",286,Der goldene Stich,"""Autsch"" - Als Matti von einer Biene gestochen wird, ahnt er noch nicht, dass er kurz darauf Besuch von Hector und Olivia bekommen wird, zwei Insekten, die ihn um seine Hilfe bitten. Sie haben keine Möglichkeit mehr, Blumen zu bestäuben - und auch sonst bleibt für die kleinen Tierchen nur wenig Platz zwischen den Betonburgen der Menschen. Doch wie soll der 11-jährige Junge diese Aufgabe meistern? "
67,67,11.0,0.9987000226974487,"Auge, Welt, Haus, Baum, Hand, Erde, Frau, Eltern, Luft, alt",288,Käpt´n Billi und sein Klima-Papagei,"Manchmal benötigen wir auch erst ungewöhnliche Ereignisse, die uns zum Nachdenken bringen... oder jemanden, der uns von solchen Ereignissen berichtet. So erfahren wir hier von Billi und dem Tag, an dem er sich dazu entschied, den Hafen des Klimaschutzes anzusteuern. Setzt die Segel und folgt ihm auf der Route seiner Geschichte!"
68,68,18.0,0.5202000141143799,"Baum, Frau, Haus, Tier, Auge, mein, Wald, Mama, Kind, Wasser",289,Was hast du getan,"Wer hätte gedacht das die Planeten eine Familie sind? Und dass es eine Schöpferlebensform gibt die Leben gestaltet? Jane auf jedenfalls nicht. Als das Mädchen dies gesagt bekommt, traut Sie Ihren Ohren nicht! Auch ist Vie, Schöpferlebensform von Beruf, misstrauisch. Doch dann lernt Sie die Fähigkeiten der Menschen kennen: Mut, Kraft, Ausdauer und der Wille die Welt zu verbessern. Ein Wettlauf gegen die Zeit beginnt als Jane abhaut und versucht den Zaubertrank zu brauen um den Klimawandel aufzuhalten. Ob sie es wohl schafft? Und ob Vie die Sonne überzeugen kann das die Menschen nicht ausgelöscht werden müssen?"
69,69,10.0,0.9878000020980835,"Auge, Wasser, Baum, Kopf, Frau, Mutter, Erde, alt, Tier, Haus",291,Gustavs Rotkehlchen,"Aus der Krone des Baums flog ein Vogel, und setzte sich neben Gustavs Fuß ins verdorrte Gras. Toni erkannte die orange-rote Kehle. Ein Rotkehlchen. - So begegnet die zehnjährige Toni zum ersten Mal Gustavs Vögelchen. Von da an folgt es ihr, und verliert ständig seine Federn, sobald Toni mit den Leuten im Dorf spricht. Zu ihrem Erstaunen färben sich manche der Vogelfedern auch noch golden. Bevor Toni herausfinden kann, warum der Vogel seine Federn verliert und was es mit der Färbung auf sich hat, begegnet sie Jan, den sie aus dem Schulbus kennt. Und lernt eine seltsame, alte Frau kennen. Sie offenbart Toni, was sie selbst schon befürchtet hatte: Gustavs Rotkehlchen ist in Gefahr, wenn die Dorfbewohner nicht endlich aufhören, die Welt aufzugeben.   "
70,70,18.0,0.9991999864578247,"Baum, Frau, Haus, Tier, Auge, mein, Wald, Mama, Kind, Wasser",292,Flora und die gefräßigen Köhlchen,"Flora hat es endlich geschafft zu einem echten Blättermädchen zu werden. Jetzt kann sie mit ihrem Geist Blättchen gegen die fiesen Köhlchen kämpfen, die für die Klimaerwärmung verantwortlich sind.
Sie schleicht sich nachts außer Haus, um die mit Kohlenstoffdioxid vollgefressenen Köhlchen zu säubern.
Doch eines Tages werden Flora und Blättchen von tausenden Köhlchen überwältigt. Blättchen wird krank und Flora kann nichts mehr gegen die Plagegeister tun.
Ausgerechnet der geheimnisvolle Laurent aus Floras Klasse bietet ihr seine Hilfe an.
Werden sie es schaffen die Köhlchen zu besiegen und so die Klimaerwärmung zu stoppen?"
71,71,12.0,0.7745000123977661,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",293,Wir müssen die Korallen vor dem Klimawandel retten!,"Familie Berger macht Badeurlaub.
Gemeinsam lesen sie eine Geschichte aus einem Kinderbuch und erleben dabei den Klimawandel aus Sicht der Meeresbewohner.
Herr Berger kommt enttäuscht vom Tauchen zurück, da er statt eines blühenden Riffs nur treibendes Plastik gesehen hat.
Enna ergreift Partei für die Tiere. Sie ermutigt ihre Eltern, mehr für die Umwelt zu tun als bisher.
Die Eltern verzichten auf eines ihrer Autos, alle gemeinsam auf Flugreisen und schränken ihren Fleischkonsum ein, um ihren Co2-Abdruck zu senken."
72,72,7.0,0.9991000294685364,"Erde, Kind, Auge, Vater, Hand, Mutter, Haus, Wasser, Schule, Mama",294,Ota in der Südsee,"Miron hat einen Opa, der etwas anders ist. Darum nennt er ihn auch nicht Opa, sondern Ota; etwas anders eben, und Ota macht sein eigenes Ding: Seit Jahren treibt er zusammen mit seiner Frau Hinatea auf einer schwimmenden Insel über die Meere. Miron besucht ihn gern, denn Ferien auf einer Insel im Süden: paradiesisch! Aber selbst die Südsee ist nicht mehr überall ein Paradies. Otas Insel ist dort schon in treibendem Plastikmüll stecken geblieben! Doch Ota wäre nicht Ota, wenn er sich dazu nicht etwas einfallen ließe, bei dem er Mirons Hilfe brauchen kann..."
73,73,12.0,0.9988999962806702,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",296,Alena rettet die Welt,"Deutschland, Sommer 2013:
Die 10-jährige Alena will die Welt verbessern. Dumm nur, dass die Welt so verdammt groß ist und sie gar nicht weiß, wo sie anfangen soll. Manchmal wünscht sie sich, wie die Wolken über die Erde ziehen zu können und alle Teile der Welt zu sehen. Stattdessen sitzt sie zuhause auf dem Hof und weiß gar nicht, was sie über die Sommerferien mit sich anfangen soll. Als sie auf einen aktuellen Klimabericht in Omas Zeitung stößt, ist ihr Interesse geweckt. Was ist das überhaupt, dieser Klimawandel? Und was hat sie damit zu tun? Sie taucht ein in die faszinierende Geschichte unseres Planeten und merkt schnell: Wenn etwas passieren soll, muss sie selbst Hand anlegen! Denn wer soll sonst die Welt retten? Wer, wenn nicht wir?"
74,74,5.0,0.9516000151634216,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",297,Meister Bo,"Der 11-jährige Sascha begegnet einem Zen-Meister, ohne das zunächst zu wissen. Dieser wird bald zu einem Vater-Ersatz und zeigt ihm ganz praktisch, wie man sich im Natur- und Klimaschutz einbringen kann. Meister Bo lebt selbst unter einer Brücke und kümmert sich um ein eigenes Gärtchen. Er fährt Rad, hat einen Fischer zum Freund, philosophiert mit dem Jungen über Kühe und Energiesparen. Und dann gibt es da noch Saschas Mutter, die sich plötzlich seltsam verhält ..."
75,75,11.0,0.9990000128746033,"Auge, Welt, Haus, Baum, Hand, Erde, Frau, Eltern, Luft, alt",299,"Der Baum, der die Welt rettete.			","Ein Planet der einst wunderschön war, steht nun am Abrund. Doch ein kleiner Junge, der längst nicht mehr daran geglaubt hatte, dass sich sein Leben zum Besseren wenden würde, machte mit seinem Großvater eine unglaubliche Entdeckung. 
Sie weckten ein neues Bewusstsein in der Menschheit und retteten so die ganze Welt!"
76,76,2.0,0.7487000226974487,"Wasser, Hand, Baum, Haus, Welt, Kopf, Vater, Eltern, Tier, Auge",300,Nicht Leas Tag,"Die kleine Blumenfee Flippa ist stinksauer. Schon wieder muss sie eine Blumenwiese verlassen, weil ein riesiger Betonklotz darauf geklatscht werden soll.
Aber damit soll nun Schluss sein. Es ist an der Zeit, dass sich die Menschheit endlich selbst ausrottet. Die Erderwärmung muss schnellstmöglich vorangetrieben werden und so knöpft sich Flippa die Ober-Klimaretter-Streberin Lea vor. Nicht auszumalen, wenn die es tatsächlich schafft, noch mehr Jugendliche von ihrer Lebensweise zu überzeugen. Dann wird das nichts mit der Klimakatastrophe und diese rücksichtslose, egoistische Spezies lungert für immer hier herum.
Deshalb macht die kleine Fee Lea bei ihren Umwelt-Bemühungen das Leben schwer, bis sie von einer Erkenntnis wie vom Blitz getroffen wird ..."
77,77,1.0,0.9765999913215637,"Vater, Mutter, Hand, Papa, Erde, Wasser, alt, Freund, Kopf, mein",302,"Die Geschichte vom Eisbären Zottel - ""Bright Future for Bears""","Im Jahre 2000:
Ein kleiner Eisbär namens Zottel lebt in Eisbergen am Nordpol. Er freut sich des Lebens, bis er eines Tages feststellt, dass die Existenz seiner Familie vom Klimawandel bedroht ist. Aus Angst, den dahinschmelzenden Lebensraum zu verlieren und umziehen zu müssen, erkunden Zottel und seine Freunde Möglichkeiten, die bedrohlichen Veränderungen zu stoppen und den Lebensraum für sich und alle anderen Eisbären zu sichern. Dabei erlebt Zottel einige spannende Abenteuer. Wie die Geschichte ausgeht, wird hier noch nicht verraten.
"
78,78,18.0,0.5651999711990356,"Baum, Frau, Haus, Tier, Auge, mein, Wald, Mama, Kind, Wasser",305,Plötzlich beliebt: Isi wird zum YouTube-Star,"Isi wächst in einer umwelt- und klimabewussten Umgebung auf. Als ihre Familie in die USA zieht, bricht für sie eine Welt zusammen. Viele Menschen denken dort nicht so wie sie. Isi eckt an - mit ihrer Art, ihren Ansichten und ihrem Hobby, dem Bemalen von Stofftaschen. Sie wird zur Außenseiterin. Doch plötzlich findet sie sich im Video eines berühmten YouTubers wieder. Das ändert alles."
79,79,1.0,0.663100004196167,"Vater, Mutter, Hand, Papa, Erde, Wasser, alt, Freund, Kopf, mein",306,Ein verschwendetes Leben,"Cliquen - Chef Max hat immer das neuste Handy. Die anderen beneiden ihn deswegen. Niemand hinterfragt, was ""hinter den Kulissen"" der Elektronik- und Elektromärkte geschieht und was mit dem ganzen Elektroschrott passiert. Aus ungewöhnlicher Perspektive wird von der Kehrseite der weltweiten Müllindustrie erzählt. Schließlich bekommt Max eine Lektion erteilt, durch die er die Welt mit anderen Augen sieht."
